ms,valve_a_pct,valve_b_pct,enc_deg
0,20.0,100.0,0.000
50,20.0,100.0,0.000
100,20.0,100.0,0.000
150,20.0,100.0,0.000
200,20.0,100.0,0.000
250,20.0,100.0,0.000
300,20.0,100.0,0.000
350,20.0,100.0,0.000
400,20.0,100.0,0.000
450,20.0,100.0,0.000
500,20.0,100.0,0.000
550,20.0,100.0,0.000
600,20.0,100.0,0.000
650,20.0,100.0,0.000
700,20.0,100.0,0.000
750,20.0,100.0,0.000
800,20.0,100.0,0.000
850,20.0,100.0,0.000
900,20.0,100.0,0.000
950,20.0,100.0,0.000
1000,20.0,100.0,0.000
1050,20.5,99.5,0.000
1100,21.0,99.0,0.000
1150,21.5,98.5,0.000
1200,22.0,98.0,0.000
1250,22.5,97.5,0.000
1300,23.0,97.0,0.000
1350,23.5,96.5,0.000
1400,24.0,96.0,0.000
1450,24.5,95.5,0.000
1500,25.0,95.0,0.000
1550,25.5,94.5,0.000
1600,26.0,94.0,0.000
1650,26.5,93.5,0.000
1700,27.0,93.0,0.000
1750,27.5,92.5,0.000
1800,28.0,92.0,0.000
1850,28.5,91.5,0.000
1900,29.0,91.0,0.000
1950,29.5,90.5,0.000
2000,30.0,90.0,0.000
2050,30.5,89.5,0.000
2100,31.0,89.0,0.000
2150,31.5,88.5,-0.088
2200,32.0,88.0,-0.176
2250,32.5,87.5,-0.352
2300,33.0,87.0,-0.439
2350,33.5,86.5,-0.439
2400,34.0,86.0,-0.527
2450,34.5,85.5,-0.527
2500,35.0,85.0,-0.439
2550,35.5,84.5,-0.264
2600,36.0,84.0,-0.176
2650,36.5,83.5,0.000
2700,37.0,83.0,0.264
2750,37.5,82.5,0.527
2800,38.0,82.0,0.879
2850,38.5,81.5,1.318
2900,39.0,81.0,1.670
2950,39.5,80.5,2.109
3000,40.0,80.0,2.285
3050,40.5,79.5,2.285
3100,41.0,79.0,2.021
3150,41.5,78.5,1.494
3200,42.0,78.0,0.879
3250,42.5,77.5,0.264
3300,43.0,77.0,-0.352
3350,43.5,76.5,-0.527
3400,44.0,76.0,-0.615
3450,44.5,75.5,-0.439
3500,45.0,75.0,-0.352
3550,45.5,74.5,-0.352
3600,46.0,74.0,-0.439
3650,46.5,73.5,-0.439
3700,47.0,73.0,-0.439
3750,47.5,72.5,-0.439
3800,48.0,72.0,-0.352
3850,48.5,71.5,-0.352
3900,49.0,71.0,-0.264
3950,49.5,70.5,-0.176
4000,50.0,70.0,-0.088
4050,50.5,69.5,0.000
4100,51.0,69.0,0.088
4150,51.5,68.5,0.088
4200,52.0,68.0,0.176
4250,52.5,67.5,0.176
4300,53.0,67.0,0.176
4350,53.5,66.5,0.088
4400,54.0,66.0,0.088
4450,54.5,65.5,0.000
4500,55.0,65.0,0.000
4550,55.5,64.5,0.000
4600,56.0,64.0,-0.088
4650,56.5,63.5,-0.088
4700,57.0,63.0,-0.088
4750,57.5,62.5,-0.088
4800,58.0,62.0,0.000
4850,58.5,61.5,0.000
4900,59.0,61.0,0.088
4950,59.5,60.5,0.088
5000,60.0,60.0,0.088
5050,60.5,59.5,0.088
5100,61.0,59.0,0.088
5150,61.5,58.5,0.088
5200,62.0,58.0,0.000
5250,62.5,57.5,0.000
5300,63.0,57.0,0.000
5350,63.5,56.5,0.000
5400,64.0,56.0,0.000
5450,64.5,55.5,0.000
5500,65.0,55.0,0.000
5550,65.5,54.5,0.088
5600,66.0,54.0,0.088
5650,66.5,53.5,0.088
5700,67.0,53.0,0.088
5750,67.5,52.5,0.088
5800,68.0,52.0,0.088
5850,68.5,51.5,0.088
5900,69.0,51.0,0.088
5950,69.5,50.5,0.088
6000,70.0,50.0,0.088
6050,70.5,49.5,0.088
6100,71.0,49.0,0.088
6150,71.5,48.5,0.088
