ms,valve_a_pct,valve_b_pct,enc_deg
0,20.0,100.0,0.000
50,20.0,100.0,0.000
100,20.0,100.0,0.000
150,20.0,100.0,0.000
200,20.0,100.0,0.000
250,20.0,100.0,0.000
300,20.0,100.0,0.000
350,20.0,100.0,0.000
400,20.0,100.0,0.000
450,20.0,100.0,-0.088
500,20.0,100.0,-0.088
550,20.0,100.0,-0.088
600,20.0,100.0,-0.088
650,20.8,99.2,-0.088
700,21.7,98.3,-0.088
750,22.5,97.5,-0.088
800,23.3,96.7,-0.088
850,24.2,95.8,-0.088
900,25.0,95.0,-0.088
950,25.8,94.2,-0.088
1000,26.7,93.3,-0.088
1050,27.5,92.5,-0.088
1100,28.3,91.7,-0.088
1150,29.2,90.8,-0.088
1200,30.0,90.0,-0.088
1250,30.8,89.2,-0.088
1300,31.7,88.3,-0.088
1350,32.5,87.5,0.000
1400,33.3,86.7,0.000
1450,34.2,85.8,0.000
1500,35.0,85.0,0.000
1550,35.8,84.2,0.000
1600,36.7,83.3,0.000
1650,37.5,82.5,0.000
1700,38.3,81.7,0.000
1750,39.2,80.8,0.000
1800,40.0,80.0,0.000
1850,40.8,79.2,0.000
1900,41.7,78.3,0.000
1950,42.5,77.5,0.000
2000,43.3,76.7,0.000
2050,44.2,75.8,0.000
2100,45.0,75.0,0.000
2150,45.8,74.2,0.000
2200,46.7,73.3,0.000
2250,47.5,72.5,0.000
2300,48.3,71.7,0.000
2350,49.2,70.8,0.000
2400,50.0,70.0,0.000
2450,50.8,69.2,0.000
2500,51.7,68.3,0.000
2550,52.5,67.5,0.000
2600,53.3,66.7,0.000
2650,54.2,65.8,0.000
2700,55.0,65.0,0.000
2750,55.8,64.2,0.000
2800,56.7,63.3,0.000
2850,57.5,62.5,0.000
2900,58.3,61.7,0.000
2950,59.2,60.8,0.000
3000,60.0,60.0,0.000
3050,60.8,59.2,0.000
3100,61.7,58.3,0.000
3150,62.5,57.5,0.000
3200,63.3,56.7,0.000
3250,64.2,55.8,0.000
3300,65.0,55.0,0.000
3350,65.8,54.2,0.000
3400,66.7,53.3,0.000
3450,67.5,52.5,0.879
3500,68.3,51.7,1.846
3550,69.2,50.8,2.725
3600,70.0,50.0,3.691
3650,70.8,49.2,4.658
3700,71.7,48.3,5.537
3750,72.5,47.5,6.416
3800,73.3,46.7,7.295
3850,74.2,45.8,8.262
3900,75.0,45.0,9.053
3950,75.8,44.2,9.932
4000,76.7,43.3,10.811
4050,77.5,42.5,11.689
4100,78.3,41.7,12.480
4150,79.2,40.8,13.271
4200,80.0,40.0,14.062
4250,80.8,39.2,14.941
4300,81.7,38.3,15.732
4350,82.5,37.5,16.523
4400,83.3,36.7,17.314
4450,84.2,35.8,18.105
4500,85.0,35.0,18.896
4550,85.8,34.2,19.688
4600,86.7,33.3,20.479
4650,87.5,32.5,21.270
4701,88.3,31.7,22.061
4750,89.2,30.8,22.676
4800,90.0,30.0,23.379
4850,90.8,29.2,24.082
4900,91.7,28.3,24.785
4950,92.5,27.5,25.400
5000,93.3,26.7,26.104
5050,94.2,25.8,26.719
5100,95.0,25.0,27.334
5150,95.8,24.2,27.949
5200,96.7,23.3,28.564
5250,97.5,22.5,29.092
5300,98.3,21.7,29.707
5350,99.2,20.8,30.234
5400,100.0,20.0,30.762
5450,100.0,20.0,31.201
5500,100.0,20.0,31.465
5550,100.0,20.0,31.465
5600,100.0,20.0,31.465
5650,100.0,20.0,31.465
5700,100.0,20.0,31.465
5750,100.0,20.0,31.465
5800,100.0,20.0,31.465
5850,100.0,20.0,31.465
5900,100.0,20.0,31.465
5950,100.0,20.0,31.465
6000,100.0,20.0,31.465
6050,100.0,20.0,31.465
6100,100.0,20.0,31.465
6150,100.0,20.0,31.465
6200,100.0,20.0,31.465
